x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	6.707e-01	2.303e-01	2.303e-01	2.303e-01	3.219e-02
0	1	3.528e-01	1.927e-01	1.278e-01	1.278e-01	4.164e-02
0	2	4.365e-01	2.388e-01	2.301e-01	1.096e-01	5.562e-02
0	3	nan	3.318e-01	2.325e-01	2.325e-01	2.325e-01
0	4	nan	nan	5.563e-01	1.683e-01	1.061e-01
0	5	nan	nan	nan	2.307e-01	2.301e-01
0	6	nan	nan	nan	nan	6.828e-02
0	7	nan	nan	nan	nan	nan
1	0	nan	2.650e-01	2.650e-01	2.572e-01	2.319e-01
1	1	6.760e-01	2.314e-01	2.314e-01	2.302e-01	9.577e-02
1	2	6.827e-01	2.306e-01	2.306e-01	6.182e-02	3.519e-02
1	3	nan	3.382e-01	1.313e-01	3.210e-02	3.210e-02
1	4	nan	nan	2.325e-01	9.912e-02	1.547e-02
1	5	nan	nan	nan	9.482e-02	1.036e-02
1	6	nan	nan	nan	nan	8.078e-02
1	7	nan	nan	nan	nan	nan
2	0	nan	5.619e-01	5.606e-01	3.423e-01	2.371e-01
2	1	3.206e-01	3.188e-01	2.389e-01	2.332e-01	7.201e-02
2	2	nan	2.387e-01	8.990e-02	8.990e-02	1.051e-03
2	3	nan	2.301e-01	1.305e-01	1.038e-01	4.012e-02
2	4	nan	nan	2.412e-01	2.301e-01	7.809e-02
2	5	nan	nan	nan	2.502e-02	2.502e-02
2	6	nan	nan	nan	nan	2.302e-01
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	5.601e-01	5.601e-01	2.387e-01
3	1	nan	nan	5.605e-01	2.311e-01	2.306e-01
3	2	nan	2.618e-01	2.420e-01	1.178e-01	1.178e-01
3	3	nan	nan	1.245e-01	9.315e-02	7.174e-02
3	4	nan	nan	nan	5.170e-02	5.170e-02
3	5	nan	nan	nan	2.301e-01	2.301e-01
3	6	nan	nan	nan	nan	2.327e-01
3	7	nan	nan	nan	nan	nan
