x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	6.537e-01	1.448e-01	1.376e-01	8.028e-02	3.746e-02
0	1	3.364e-01	6.704e-02	5.839e-02	3.834e-02	1.136e-02
0	2	6.515e-01	8.567e-02	7.719e-02	4.517e-02	3.594e-02
0	3	nan	1.815e-01	1.815e-01	1.815e-01	3.700e-02
0	4	nan	2.183e-01	1.715e-01	1.167e-01	7.130e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	3.271e-01	1.157e-01	6.143e-02	2.985e-02
1	1	6.156e-01	1.244e-01	9.920e-02	2.603e-02	9.704e-03
1	2	9.168e-01	2.321e-01	1.016e-01	9.956e-02	9.956e-02
1	3	nan	2.520e-01	6.331e-02	2.120e-02	2.120e-02
1	4	nan	2.276e-01	1.413e-01	9.723e-02	1.927e-02
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	2.593e-01	8.713e-02	7.337e-02	7.337e-02
2	1	nan	1.252e-01	7.190e-02	2.409e-02	6.541e-03
2	2	nan	1.325e-01	9.369e-02	6.968e-02	2.166e-02
2	3	nan	2.752e-01	4.389e-02	4.389e-02	2.438e-02
2	4	nan	2.271e-01	1.114e-01	2.195e-02	2.195e-02
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	1.539e-01	1.115e-01
3	1	nan	4.488e-01	1.590e-01	3.353e-02	3.353e-02
3	2	nan	2.125e-01	8.164e-03	8.164e-03	8.164e-03
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	2.280e-01
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
