x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	3.752e-01	2.322e-01	2.322e-01
0	1	5.805e-01	2.828e-01	1.148e-01	2.490e-02	2.490e-02
0	2	3.526e-01	2.303e-01	1.894e-02	1.894e-02	1.894e-02
0	3	5.635e-01	2.305e-01	3.488e-02	3.488e-02	3.488e-02
0	4	nan	5.605e-01	2.320e-01	2.320e-01	1.682e-01
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	4.545e-01	2.525e-01	2.315e-01
1	1	5.750e-01	2.788e-01	2.316e-01	2.310e-01	2.304e-01
1	2	5.243e-01	2.359e-01	1.017e-01	4.071e-02	4.071e-02
1	3	7.155e-01	2.324e-01	1.538e-01	3.339e-02	1.853e-02
1	4	nan	2.498e-01	2.342e-01	2.311e-01	1.007e-01
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	4.236e-01	3.316e-01	2.344e-01
2	1	nan	4.666e-01	4.370e-01	2.323e-01	2.313e-01
2	2	nan	2.841e-01	2.387e-01	7.290e-02	2.987e-02
2	3	nan	2.902e-01	6.098e-02	6.098e-02	1.706e-02
2	4	nan	nan	3.811e-02	8.582e-03	8.582e-03
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	3.585e-01	2.330e-01
3	1	nan	nan	3.751e-01	2.336e-01	2.301e-01
3	2	nan	4.543e-01	2.328e-01	2.303e-01	2.303e-01
3	3	nan	nan	2.304e-01	2.268e-01	7.125e-02
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
