x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	6.229e-01	1.750e-01	1.558e-01	2.700e-02	2.700e-02
0	2	2.973e-01	2.369e-01	2.153e-01	1.111e-01	8.165e-02
0	3	5.626e-01	2.309e-01	2.300e-01	2.300e-01	6.190e-02
0	4	nan	2.349e-01	2.305e-01	2.301e-01	8.313e-03
0	5	nan	2.572e-01	2.320e-01	1.075e-01	5.954e-02
0	6	nan	nan	nan	nan	2.300e-01
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	5.635e-01	3.127e-01	8.710e-02	8.710e-02	6.577e-02
1	2	5.969e-01	2.435e-01	1.542e-02	1.542e-02	1.542e-02
1	3	5.998e-01	2.305e-01	2.305e-01	8.371e-02	1.370e-02
1	4	nan	2.324e-01	5.368e-02	4.185e-02	2.149e-03
1	5	nan	nan	2.308e-01	2.307e-01	9.821e-02
1	6	nan	nan	nan	nan	1.001e-01
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	5.607e-01	2.364e-01	2.334e-01	2.321e-01
2	2	nan	5.600e-01	5.384e-02	5.201e-02	4.723e-02
2	3	nan	2.308e-01	8.423e-02	1.889e-02	1.889e-02
2	4	nan	5.625e-01	2.342e-01	6.217e-02	1.808e-02
2	5	nan	nan	2.311e-01	2.303e-01	2.157e-02
2	6	nan	nan	nan	nan	1.477e-01
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	5.601e-01	2.344e-01	2.344e-01	2.322e-01
3	2	nan	2.675e-01	2.344e-01	2.344e-01	2.302e-01
3	3	nan	nan	nan	2.300e-01	2.300e-01
3	4	nan	nan	nan	2.300e-01	1.411e-01
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	2.302e-01
3	7	nan	nan	nan	nan	nan
