x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	3.040e-01	2.305e-01	2.305e-01	2.301e-01	1.266e-02
0	1	5.605e-01	2.336e-01	2.336e-01	2.304e-01	4.787e-02
0	2	nan	3.294e-01	2.332e-01	8.870e-02	6.852e-02
0	3	nan	8.423e-02	5.729e-02	4.720e-02	3.957e-02
0	4	nan	2.703e-01	2.325e-01	2.307e-01	3.068e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	8.474e-01	2.305e-01	2.305e-01	2.303e-01	2.301e-01
1	1	9.164e-01	2.309e-01	2.309e-01	2.309e-01	2.302e-01
1	2	nan	2.300e-01	2.300e-01	2.300e-01	2.184e-02
1	3	nan	3.361e-01	2.309e-01	4.714e-02	2.135e-02
1	4	nan	2.351e-01	2.306e-01	2.306e-01	7.235e-03
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	3.695e-01	2.595e-01	2.559e-01	2.559e-01
2	1	nan	2.309e-01	2.306e-01	2.306e-01	2.306e-01
2	2	nan	2.303e-01	2.303e-01	2.303e-01	2.300e-01
2	3	nan	nan	2.819e-01	2.357e-01	2.357e-01
2	4	nan	nan	2.311e-01	3.839e-02	1.691e-02
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	1.173e-01
3	1	nan	nan	nan	nan	4.181e-02
3	2	nan	nan	nan	nan	1.857e-02
3	3	nan	nan	nan	2.404e-01	8.410e-03
3	4	nan	nan	nan	2.308e-01	2.305e-01
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
