x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	3.715e-01	1.537e-01	6.511e-02	1.090e-02	1.090e-02
0	1	5.632e-01	6.061e-02	5.831e-02	2.141e-02	2.141e-02
0	2	nan	2.567e-01	2.331e-01	2.326e-01	6.935e-03
0	3	nan	2.316e-01	2.316e-01	2.301e-01	2.301e-01
0	4	nan	nan	2.345e-01	2.301e-01	2.301e-01
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	5.644e-01	2.427e-01	1.844e-01	2.792e-02	2.792e-02
1	1	nan	2.364e-01	2.328e-01	6.969e-03	4.994e-03
1	2	nan	2.314e-01	2.314e-01	2.314e-01	8.812e-02
1	3	nan	4.706e-01	2.305e-01	2.301e-01	2.301e-01
1	4	nan	nan	2.301e-01	2.301e-01	6.911e-02
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	5.609e-01	5.607e-01	2.539e-01	7.392e-02
2	1	nan	5.600e-01	2.738e-01	2.303e-01	1.718e-01
2	2	nan	5.603e-01	4.089e-01	2.319e-01	1.801e-02
2	3	nan	nan	2.335e-01	2.300e-01	2.300e-01
2	4	nan	nan	2.320e-01	2.303e-01	1.314e-01
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	3.062e-01
3	1	nan	nan	nan	2.716e-01	2.301e-01
3	2	nan	nan	nan	2.522e-01	2.301e-01
3	3	nan	nan	nan	2.307e-01	2.018e-01
3	4	nan	nan	nan	2.301e-01	2.301e-01
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
