x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	4.303e-01	9.998e-02	9.998e-02	9.998e-02	8.410e-02
0	2	2.444e-01	8.330e-02	8.330e-02	1.681e-02	1.326e-02
0	3	5.027e-01	1.972e-01	1.133e-02	1.133e-02	1.133e-02
0	4	nan	1.415e-01	1.221e-01	5.916e-02	5.916e-02
0	5	nan	nan	nan	nan	2.187e-01
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	6.753e-01	1.006e-01	5.706e-02	3.233e-02	1.947e-02
1	2	3.749e-01	6.682e-02	4.138e-02	1.156e-02	7.470e-03
1	3	6.629e-01	4.545e-02	4.545e-02	2.767e-02	1.052e-02
1	4	nan	2.310e-01	9.258e-02	1.883e-02	1.883e-02
1	5	nan	nan	nan	nan	8.938e-02
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	2.026e-01	2.014e-01	1.393e-01	8.475e-02
2	2	nan	1.850e-01	1.850e-01	6.941e-03	6.941e-03
2	3	nan	2.268e-01	4.104e-02	1.980e-02	7.874e-03
2	4	nan	2.281e-01	1.133e-01	2.172e-02	2.172e-02
2	5	nan	nan	nan	nan	5.377e-02
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	4.071e-01	1.626e-01	1.331e-02
3	2	nan	nan	1.429e-01	5.414e-02	3.179e-02
3	3	nan	nan	1.199e-01	1.575e-02	2.548e-03
3	4	nan	nan	2.323e-01	2.272e-01	3.149e-02
3	5	nan	nan	nan	nan	6.084e-02
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
