x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	2.326e-01	1.339e-01	1.339e-01
0	1	6.520e-01	1.267e-01	2.643e-02	2.643e-02	2.397e-02
0	2	1.929e-01	1.601e-01	5.134e-02	1.682e-02	1.320e-03
0	3	2.598e-01	1.556e-01	1.295e-01	3.042e-02	2.924e-02
0	4	nan	2.346e-01	1.410e-01	1.410e-01	1.408e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	5.116e-01	2.325e-01	4.806e-02
1	1	nan	2.890e-01	1.430e-01	4.221e-02	1.578e-02
1	2	4.791e-01	1.989e-01	1.904e-01	1.237e-01	7.808e-02
1	3	6.077e-01	3.933e-02	3.933e-02	1.487e-02	1.260e-02
1	4	nan	1.010e-01	6.061e-02	6.061e-02	1.079e-03
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	2.456e-01	8.540e-02
2	1	nan	2.374e-01	2.374e-01	2.208e-02	2.208e-02
2	2	6.582e-01	1.685e-01	1.124e-01	2.818e-02	2.818e-02
2	3	nan	1.882e-01	1.992e-02	1.992e-02	5.278e-03
2	4	nan	2.414e-01	2.283e-01	9.104e-02	4.154e-02
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	8.940e-02	8.940e-02
3	1	nan	nan	nan	2.451e-01	1.026e-01
3	2	nan	nan	1.140e-01	3.751e-02	1.549e-02
3	3	nan	nan	9.957e-02	2.336e-02	2.336e-02
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
